transcript_id	gene	transcript_type	tsl	biotype
ENSR00000300748				CTCF_binding_site
ENSR00001238012				promoter_flanking_region
ENSR00000143415				TF_binding_site
ENSR00001238013				TF_binding_site
ENSR00000300758				CTCF_binding_site
ENSR00001057259				open_chromatin_region
ENSR00000665474				open_chromatin_region
ENSR00000300759				CTCF_binding_site
ENSR00000665475				open_chromatin_region
ENSR00001238015				enhancer
ENSM00068846900				
ENSR00001057260	ADA2			CTCF_binding_site
ENSR00001238016				enhancer
ENSR00000300762				CTCF_binding_site
ENSR00000665477				TF_binding_site
ENST00000615943	U2	E		snRNA
XR_950596.3	LOC105379418	R		lncRNA
XR_950597.3	ADA2	R		lncRNA
ENSR00001057265				open_chromatin_region
ENSR00001057267				CTCF_binding_site
ENSR00000665486				open_chromatin_region
ENSR00000665487				CTCF_binding_site
ENST00000635667	FRG1FP	E		unprocessed_pseudogene
NR_132320.1	LOC102723780	R		transcribed_pseudogene
ENSR00000143422				promoter
ENSR00000665494				open_chromatin_region
ENST00000624155	CU104787.1	E	1	lncRNA
ENSR00001057273				promoter
ENST00000422332	ACTR3BP7	E		processed_pseudogene
ENSR00000300796				CTCF_binding_site
ENSM00522680952				
ENSM00040326510				
ENSM00522064756				
ENSM00087957813				
ENSM00029205503				
ENSM00040124448				
ENSM00197699088				
ENSM00085430133				
ENSM00177865468				
ENSM00030770319				
ENSM00197382524				
ENSM00135969078				
ENSM00005260071				
ENSM00005779195				
ENSM00120348931				
ENSM00041040695				
ENSM00120087113				
ENSM00117812696				
ENSM00006062794				
ENSM00005033547				
ENST00000612732	5_8S_rRNA	E		rRNA
ENSR00001057277				CTCF_binding_site
ENSR00001238021				promoter_flanking_region
ENSR00001238023				open_chromatin_region
ENSR00001238024				promoter_flanking_region
ENSR00000300800				CTCF_binding_site
ENSR00000300802				CTCF_binding_site
ENSR00001238027				open_chromatin_region
ENST00000672261	CT867976.1	E		unprocessed_pseudogene
ENSR00001238030				open_chromatin_region
ENSR00001238031				open_chromatin_region
ENSR00001238032				promoter_flanking_region
ENSR00000300821				CTCF_binding_site
ENSR00001238033				open_chromatin_region
ENSR00001238034				open_chromatin_region
ENSR00001057283				CTCF_binding_site
ENSM01052359175				
ENSR00000665525				CTCF_binding_site
ENSM00494792472				
ENSR00000665526				CTCF_binding_site
ENSR00000665527				open_chromatin_region
ENSR00000665530				CTCF_binding_site
ENSM00205870214				
ENSM00596808908				
XR_001755416.2	LOC107984037	R		lncRNA
ENST00000657566	AC138776.1	E		processed_transcript
ENSR00000665531				CTCF_binding_site
ENST00000657645	AC138776.1	E		transcribed_unprocessed_pseudogene
NR_110761.1	LOC102723769	R		lncRNA
ENSR00001238038				CTCF_binding_site
ENSR00000665537				open_chromatin_region
ENSR00001057290				open_chromatin_region
ENSR00000665542				open_chromatin_region
ENSM00307620195				
ENSM00461417966				
ENSR00000300844				CTCF_binding_site
XR_001755413.1	LOC107987323	R		lncRNA
XR_001755414.2	LOC107987323	R		lncRNA
XR_001755415.1	LOC107987323	R		lncRNA
XR_002958735.1	LOC107987323	R		lncRNA
XR_951179.2	LOC105379516	R		lncRNA
ENSR00001057294				CTCF_binding_site
ENSR00001057298				CTCF_binding_site
ENSR00001238041				TF_binding_site
ENSR00000665552				CTCF_binding_site
ENSR00000300867				CTCF_binding_site
ENSR00001057299				open_chromatin_region
ENSM00000090865				
ENSR00000300869				CTCF_binding_site
ENSR00000665557				open_chromatin_region
ENSR00000143444				TF_binding_site
ENSM00093263026				
ENSR00001238043				open_chromatin_region
ENSR00000300880				CTCF_binding_site
ENSR00000300882				CTCF_binding_site
ENST00000634617	FRG1GP	E		unprocessed_pseudogene
ENSR00000143446				promoter
ENSR00000665569				CTCF_binding_site
ENSM00283083559				
ENSM00206380312				
ENSM01052025520				
ENSM00523641035				
ENSM00000654165				
ENSR00001057308				open_chromatin_region
ENSR00000665571				open_chromatin_region
