transcript_id	gene	transcript_type	tsl	biotype
ENST00000615943	U2	E		snRNA
XR_950596.3	LOC105379418	R		lncRNA
XR_950597.3	LOC105379418	R		lncRNA
ENST00000635667	FRG1FP	E		unprocessed_pseudogene
NR_132320.1	LOC102723780	R		transcribed_pseudogene
ENST00000624155	CU104787.1	E		lncRNA
ENST00000422332	ACTR3BP7	E		processed_pseudogene
ENST00000612732	5_8S_rRNA	E		rRNA
ENST00000672261	CT867976.1	E		unprocessed_pseudogene
XR_001755416.2	LOC107984037	R		lncRNA
ENST00000657566	AC138776.1	E		processed_transcript
ENST00000657645	AC138776.1	E		transcribed_unprocessed_pseudogene
NR_110761.1	LOC102723769	R		lncRNA
XR_001755413.1	LOC107987323	R		lncRNA
XR_001755414.2	LOC107987323	R		lncRNA
XR_001755415.1	LOC107987323	R		lncRNA
XR_002958735.1	LOC107987323	R		lncRNA
XR_951179.2	LOC105379516	R		lncRNA
ENST00000634617	FRG1GP	E		unprocessed_pseudogene
XR_001755412.1	LOC105379428	R		lncRNA
XR_002958734.1	LOC105379428	R		lncRNA
ENST00000613107	U6	E		snRNA
ENST00000623391	AP000542.3	E		lncRNA
ENST00000448473	AP000542.1	E		unprocessed_pseudogene
ENST00000623199	AP000542.2	E		lncRNA
ENST00000425869	ZNF72P	E		unprocessed_pseudogene
ENST00000441221	BNIP3P2	E		processed_pseudogene
ENST00000429435	YME1L1P1	E		unprocessed_pseudogene
ENST00000643195	OR11H1	E		protein_coding
NM_001005239.1	OR11H1	R		protein_coding
ENST00000412729	AP000534.2	E		unprocessed_pseudogene
ENST00000443989	ARHGAP42P3	E		processed_pseudogene
ENST00000444162	AP000534.1	E		lncRNA
ENST00000417863	AP000533.2	E		processed_pseudogene
ENST00000456143	AP000533.1	E		processed_pseudogene
ENST00000447704	AP000533.3	E		unprocessed_pseudogene
ENST00000428118	AP000532.2	E		lncRNA
XR_002958737.1	LOC112268291	R		lncRNA
ENST00000438441	NEK2P2	E		processed_pseudogene
ENST00000440999	AP000532.1	E		unprocessed_pseudogene
ENST00000426025	NF1P6	E		unprocessed_pseudogene
ENST00000435410	MED15P7	E		unprocessed_pseudogene
ENST00000343518	POTEH	E		protein_coding
ENST00000452800	POTEH	E		nonsense_mediated_decay
ENST00000621704	POTEH	E		protein_coding
NM_001136213.1	POTEH	R		protein_coding
ENST00000422014	POTEH-AS1	E		lncRNA
NR_046571.1	POTEH-AS1	R		lncRNA
ENST00000390914	RNU6-816P	E		snRNA
ENST00000417657	AP000529.1	E		processed_pseudogene
NR_132385.2	LINC01297	R		lncRNA
ENST00000453395	PSLNR	E		lncRNA
ENST00000423297	GRAMD4P2	E		processed_pseudogene
ENST00000438574	PSLNR	E		lncRNA
XR_001755418.1	LOC107987324	R		lncRNA
ENST00000383038	DUXAP8	E		lncRNA
ENST00000413768	DUXAP8	E		lncRNA
ENST00000437781	DUXAP8	E		lncRNA
ENST00000447898	DUXAP8	E		lncRNA
ENST00000603308	DUXAP8	E		lncRNA
ENST00000661115	DUXAP8	E		lncRNA
NR_122113.1	DUXAP8	R		transcribed_pseudogene
ENST00000661156	DUXAP8	E		lncRNA
ENST00000458623	DUXAP8	E		lncRNA
ENST00000657965	AP000526.1	E		transcribed_unprocessed_pseudogene
ENST00000440946	BMS1P22	E		processed_transcript
ENST00000414726	BMS1P22	E		transcribed_unprocessed_pseudogene
ENST00000609679	BMS1P22	E		processed_transcript
NR_133911.1	BMS1P22	R		transcribed_pseudogene
ENST00000607933	DUXAP8	E		lncRNA
ENST00000608286	AP000525.1	E		lncRNA
ENST00000456786	DUXAP8	E		transcribed_processed_pseudogene
ENST00000398242	TOMM40P2	E		processed_pseudogene
ENST00000420638	NBEAP3	E		unprocessed_pseudogene
ENST00000448070	AP000522.1	E		unprocessed_pseudogene
ENST00000424770	AC145543.1	E		lncRNA
ENST00000612550	U6	E		snRNA
ENST00000399687	ABCD1P4	E		unprocessed_pseudogene
ENST00000427602	AC137499.1	E		processed_pseudogene
ENST00000426076	PABPC1P9	E		unprocessed_pseudogene
ENST00000421957	SLC9B1P4	E		unprocessed_pseudogene
ENST00000623630	ACTR3BP6	E		processed_pseudogene
ENST00000450340	CHEK2P4	E		unprocessed_pseudogene
ENST00000609641	AP000547.2	E		lncRNA
ENST00000454360	AP000547.1	E		unprocessed_pseudogene
ENST00000493696	KCNMB3P1	E		transcribed_unprocessed_pseudogene
ENST00000472972	KCNMB3P1	E		processed_transcript
ENST00000359963	CCT8L2	E		protein_coding
NM_014406.5	CCT8L2	R		protein_coding
ENST00000656324	AP000547.4	E		lncRNA
ENST00000430910	FABP5P11	E		processed_pseudogene
ENST00000400593	TPTEP1	E		processed_transcript
