transcript_id	gene	transcript_type	tsl	biotype
ENST00000717151	MIATNB	E	.	lncRNA
ENST00000717153	MIATNB	E	.	lncRNA
XR_001755472.2	LOC107985582	R	.	lncRNA
.	.	.	.	.
ENST00000623027	.	E	.	lncRNA
ENST00000833191	.	E	.	lncRNA
ENST00000363573	RNU6-1066P	E	.	snRNA
ENST00000623814	.	E	.	lncRNA
ENST00000624792	.	E	.	lncRNA
ENST00000453934	.	E	.	lncRNA
NR_164796.1	LOC284898	R	.	lncRNA
ENSR22_9DPSM	.	E	.	enhancer
ENST00000658755	.	E	.	lncRNA
ENSR22_8RH3S	.	E	.	enhancer
ENSR22_8RHL4	.	E	.	open_chromatin_region
ENSR22_B7D6X	.	E	.	enhancer
ENST00000623947	.	E	.	lncRNA
ENSR22_B7D7S	.	E	.	enhancer
ENST00000775158	.	E	.	lncRNA
ENSR22_B7D8K	.	E	.	enhancer
ENSR22_C4NLZ	.	E	.	enhancer
ENSR22_B7D9B	.	E	.	enhancer
ENSR22_C4NMB	.	E	.	enhancer
ENSR22_B7DB3	.	E	.	enhancer
ENST00000775252	.	E	.	lncRNA
ENSR22_8RJCZ	.	E	.	promoter
ENSR22_8RJD8	.	E	.	promoter
ENSR22_9DQPX	.	E	.	enhancer
ENSR22_9DQQG	.	E	.	enhancer
XR_001755607.2	LOC107985534	R	.	lncRNA
ENSR22_B7DDN	.	E	.	enhancer
ENST00000430468	.	E	.	lncRNA
ENSR22_C4NQ2	.	E	.	enhancer
ENSR22_8RK2M	.	E	.	enhancer
ENST00000805084	LINC01638	E	.	lncRNA
ENST00000805085	LINC01638	E	.	lncRNA
ENST00000805083	LINC01638	E	.	lncRNA
ENSR22_B7DKX	.	E	.	enhancer
ENST00000805087	LINC01638	E	.	lncRNA
ENST00000805435	.	E	.	lncRNA
ENST00000805436	.	E	.	lncRNA
NR_171770.1	LOC105372977	R	.	lncRNA
ENST00000805267	.	E	.	lncRNA
ENST00000805268	.	E	.	lncRNA
ENST00000805269	.	E	.	lncRNA
ENST00000805270	.	E	.	lncRNA
ENST00000805271	.	E	.	lncRNA
ENST00000427360	.	E	.	lncRNA
ENSR22_C4NTR	.	E	.	enhancer
ENSR22_9DRKP	.	E	.	enhancer
ENSR22_B7DS8	.	E	.	enhancer
ENST00000444114	LINC01638	E	.	lncRNA
ENST00000805086	LINC01638	E	.	lncRNA
NR_171021.1	LINC01638	R	.	lncRNA
ENST00000418271	LINC01638	E	.	lncRNA
ENST00000650737	LINC01638	E	.	lncRNA
ENST00000659538	LINC01638	E	.	lncRNA
ENST00000660027	LINC01638	E	.	lncRNA
ENST00000690524	LINC01638	E	.	lncRNA
ENST00000805088	LINC01638	E	.	lncRNA
ENSR22_9DRPB	.	E	.	enhancer
ENSR22_B7DTL	.	E	.	enhancer
ENSR22_9DRQG	.	E	.	enhancer
ENSR22_C4NZF	.	E	.	enhancer
ENSR22_9DS3J	.	E	.	enhancer
ENST00000763712	.	E	.	lncRNA
ENSR22_9DS7T	.	E	.	enhancer
ENST00000449126	.	E	.	lncRNA
ENST00000783519	.	E	.	lncRNA
ENSR22_8RMRB	.	E	.	open_chromatin_region
ENST00000836461	.	E	.	lncRNA
ENST00000836459	.	E	.	lncRNA
ENST00000836460	.	E	.	lncRNA
ENST00000836462	.	E	.	lncRNA
ENST00000454387	.	E	.	lncRNA
ENST00000657960	LINC02554	E	.	lncRNA
ENST00000662296	LINC02554	E	.	lncRNA
ENST00000665304	LINC02554	E	.	lncRNA
ENST00000836529	LINC02554	E	.	lncRNA
ENST00000836530	LINC02554	E	.	lncRNA
ENST00000426467	LINC02554	E	.	lncRNA
NR_134581.1	LINC02554	R	.	lncRNA
ENSR22_B7FCC	.	E	.	enhancer
ENSR22_9DSP5	.	E	.	enhancer
ENST00000790894	.	E	.	lncRNA
ENST00000790897	.	E	.	lncRNA
XR_938121.2	LOC105372979	R	.	lncRNA
ENST00000790895	.	E	.	lncRNA
ENST00000790896	.	E	.	lncRNA
ENSR22_8RNHM	.	E	.	enhancer
ENSR22_9DSQP	.	E	.	promoter
ENST00000790898	.	E	.	lncRNA
ENST00000413244	.	E	.	lncRNA
ENST00000668323	.	E	.	lncRNA
ENST00000669277	.	E	.	lncRNA
ENST00000692427	.	E	.	lncRNA
ENST00000786369	.	E	.	lncRNA
ENST00000786370	.	E	.	lncRNA
ENST00000786371	.	E	.	lncRNA
ENST00000786372	.	E	.	lncRNA
ENST00000786373	.	E	.	lncRNA
XR_430432.4	LOC102724900	R	.	lncRNA
XR_938122.2	LOC102724900	R	.	lncRNA
ENSR22_B7FGB	.	E	.	enhancer
ENSR22_B7FGZ	.	E	.	enhancer
ENST00000729519	.	E	.	lncRNA
ENSR22_9DTCK	.	E	.	enhancer
ENSR22_B7FNZ	.	E	.	enhancer
ENSR22_8RPW7	.	E	.	enhancer
ENSR22_8RPZL	.	E	.	enhancer
ENSR22_8RQ4L	.	E	.	open_chromatin_region
ENSR22_8RQ8F	.	E	.	enhancer
ENSR22_9DTNZ	.	E	.	enhancer
ENST00000623572	.	E	.	lncRNA
ENST00000625043	.	E	.	lncRNA
ENSR22_C4PG9	.	E	.	enhancer
ENSR22_73LJDP	.	E	.	enhancer
ENSR22_73LJDS	.	E	.	promoter
ENSR22_9DTT6	.	E	.	enhancer
ENSR22_9DTTB	.	E	.	promoter
ENST00000654206	.	E	.	lncRNA
ENST00000783233	.	E	.	lncRNA
ENST00000783234	.	E	.	lncRNA
ENST00000783235	.	E	.	lncRNA
XR_938123.4	LOC105372980	R	.	lncRNA
ENSR22_9DW2N	.	E	.	promoter
ENSR22_B7G2N	.	E	.	enhancer
ENST00000794108	.	E	.	lncRNA
ENST00000440477	.	E	.	lncRNA
ENSR22_9DWCW	.	E	.	open_chromatin_region
ENSR22_B7G7S	.	E	.	enhancer
ENSR22_9DWHK	.	E	.	enhancer
ENSR22_9DWKR	.	E	.	enhancer
ENSR22_8RS6Z	.	E	.	enhancer
XR_938124.2	LOC105372981	R	.	lncRNA
ENST00000761705	.	E	.	lncRNA
ENSR22_9DWRK	.	E	.	enhancer
ENSR22_B7GFF	.	E	.	enhancer
ENSR22_9DX3F	.	E	.	enhancer
ENSR22_9DX4B	.	E	.	enhancer
ENST00000761706	.	E	.	lncRNA
ENSR22_B7GMH	.	E	.	enhancer
ENST00000415655	.	E	.	lncRNA
ENSR22_9DXHF	.	E	.	enhancer
ENSR22_9DXJC	.	E	.	enhancer
ENSR22_9DXJJ	.	E	.	enhancer
ENSR22_9DXK3	.	E	.	open_chromatin_region
ENSR22_9DXKT	.	E	.	enhancer
ENST00000827824	.	E	.	lncRNA
ENSR22_8RWHZ	.	E	.	open_chromatin_region
ENSR22_9DXS8	.	E	.	enhancer
ENSR22_9DXX8	.	E	.	enhancer
ENSR22_9DZ5N	.	E	.	enhancer
ENSR22_9DZ73	.	E	.	enhancer
ENSR22_B7H4Q	.	E	.	enhancer
ENSR22_9DZD3	.	E	.	enhancer
ENST00000692900	.	E	.	lncRNA
ENST00000768623	.	E	.	lncRNA
ENSR22_B7H86	.	E	.	enhancer
ENSR22_B7H8R	.	E	.	enhancer
ENST00000733292	.	E	.	lncRNA
ENST00000733293	.	E	.	lncRNA
XR_007068040.1	LOC124905098	R	.	lncRNA
ENSR22_9DZJ6	.	E	.	enhancer
ENST00000733137	.	E	.	lncRNA
NR_186699.1	CPMER	R	.	lncRNA
ENSR22_B7H9D	.	E	.	enhancer
ENST00000440255	CPMER	E	.	lncRNA
ENSR22_8RZC2	.	E	.	enhancer
ENSR22_B7HCL	.	E	.	enhancer
ENSR22_9DZPM	.	E	.	open_chromatin_region
ENST00000422833	.	E	.	lncRNA
ENST00000417957	.	E	.	lncRNA
ENST00000733448	.	E	.	lncRNA
ENST00000733548	.	E	.	lncRNA
ENSR22_8S22W	.	E	.	enhancer
ENSR22_9F23G	.	E	.	enhancer
ENSR22_9F23P	.	E	.	enhancer
ENSR22_C4Q9P	.	E	.	enhancer
ENST00000302326	MN1	E	.	protein_coding
ENST00000703102	MN1	E	.	protein_coding_CDS_not_defined
NM_002430.3	MN1	R	.	protein_coding
ENST00000424656	MN1	E	.	nonsense_mediated_decay
ENST00000497225	MN1	E	.	protein_coding_CDS_not_defined
ENSR22_C4QC9	.	E	.	enhancer
ENSR22_9F2FD	.	E	.	enhancer
ENST00000778729	.	E	.	lncRNA
ENSR22_B7HSL	.	E	.	enhancer
ENSR22_B7HSW	.	E	.	enhancer
ENSR22_B7HTS	.	E	.	enhancer
ENST00000760484	.	E	.	lncRNA
ENSR22_B7J2H	.	E	.	enhancer
ENST00000834899	.	E	.	lncRNA
ENST00000834900	.	E	.	lncRNA
XR_001755624.2	LOC107985529	R	.	lncRNA
ENSR22_9F3BH	.	E	.	enhancer
ENSR22_9F3F5	.	E	.	enhancer
ENST00000320996	PITPNB	E	.	protein_coding
